Digi-Key Part Number,Manufacturer,Manufacturer Part Number,Customer Reference,Quantity 1,Quantity 2,Quantity 3,Mfg Std Lead Time,Description,Comments,RoHS Status,Lead Free Status,REACH Status
952-1770-ND,HARWIN INC,M20-9770246,,2,0,0,10 Weeks,02 SIL VERT PIN HDR,,RoHS Compliant,Lead free,Unaffected Dec-2015
490-15634-1-ND,MURATA ELECTRONICS (VA),LQM18PN1R0MGHD,,1,0,0,8 Weeks,FIXED IND 1UH 1.05A 250 MOHM,,RoHS Compliant,Lead free,Not Available
490-14478-1-ND,MURATA ELECTRONICS (VA),LQM18PN2R2MGHD,,1,0,0,8 Weeks,2.2UH20% 1.05A(MAX) / 1.15A(TYP.,,RoHS Compliant,Lead free,Not Available
490-15635-1-ND,MURATA ELECTRONICS (VA),LQM18PN3R3MGHD,,1,0,0,8 Weeks,FIXED IND 3.3UH 1.05A 250 MOHM,,RoHS Compliant,Lead free,Not Available
1276-6353-1-ND,"SAMSUNG ELECTRO-MECHANICS AMERICA, INC (VA)",CIS10P300AC,,3,0,0,11 Weeks,FERRITE BEAD 30 OHM 0603 1LN,,RoHS Compliant,Lead free,Unaffected Jan-2017
311-2.20KHRCT-ND,YAGEO (VA),RC0603FR-072K2L,,6,0,0,22 Weeks,RES SMD 2.2K OHM 1% 1/10W 0603,,RoHS Compliant,Lead free,Unaffected Jan-2017
311-4.70KHRCT-ND,YAGEO (VA),RC0603FR-074K7L,,12,0,0,22 Weeks,RES SMD 4.7K OHM 1% 1/10W 0603,,RoHS Compliant,Lead free,Unaffected Jan-2017
311-10.0KHRCT-ND,YAGEO (VA),RC0603FR-0710KL,,9,0,0,22 Weeks,RES SMD 10K OHM 1% 1/10W 0603,,RoHS Compliant,Lead free,Unaffected Jan-2017
311-12.0KHRCT-ND,YAGEO (VA),RC0603FR-0712KL,,1,0,0,22 Weeks,RES SMD 12K OHM 1% 1/10W 0603,,RoHS Compliant,Lead free,Unaffected Jan-2017
311-22.0HRCT-ND,YAGEO (VA),RC0603FR-0722RL,,5,0,0,22 Weeks,RES SMD 22 OHM 1% 1/10W 0603,,RoHS Compliant,Lead free,Unaffected Jan-2017
311-39.0HRCT-ND,YAGEO (VA),RC0603FR-0739RL,,1,0,0,22 Weeks,RES SMD 39 OHM 1% 1/10W 0603,,RoHS Compliant,Lead free,Unaffected Jan-2017
311-43.0HRCT-ND,YAGEO (VA),RC0603FR-0743RL,,1,0,0,22 Weeks,RES SMD 43 OHM 1% 1/10W 0603,,RoHS Compliant,Lead free,Unaffected Jan-2017
311-160HRCT-ND,YAGEO (VA),RC0603FR-07160RL,,2,0,0,22 Weeks,RES SMD 160 OHM 1% 1/10W 0603,,RoHS Compliant,Lead free,Unaffected Jan-2017
311-165HRCT-ND,YAGEO (VA),RC0603FR-07165RL,,6,0,0,22 Weeks,RES SMD 165 OHM 1% 1/10W 0603,,RoHS Compliant,Lead free,Unaffected Jan-2017
311-330HRCT-ND,YAGEO (VA),RC0603FR-07330RL,,6,0,0,22 Weeks,RES SMD 330 OHM 1% 1/10W 0603,,RoHS Compliant,Lead free,Unaffected Jan-2017
535-11281-1-ND,ABRACON LLC (VA),ABM3C-12.000MHZ-D4Y-T,,1,0,0,15 Weeks,CRYSTAL 12.0000MHZ 18PF SMD,,RoHS Compliant,Lead free,Affected Jan-2017
300-8039-1-ND,CITIZEN FINEDEVICE CO LTD (VA),CM13032768DZFT,,1,0,0,13 Weeks,CRYSTAL 32.7680KHZ 12.5PF SMD,,RoHS Compliant,Lead free,Unaffected Jan-2017
